project_name,milestone_name,start_date,end_date
Hypercare,2026.07c-Comp Systems,2026-07-29,2026-08-11
Hypercare,2026.08a-Comp Systems,2026-08-12,2026-08-25
Hypercare,2026.08b-Comp Systems,2026-08-26,2026-09-08
Hypercare,2026.09a-Comp Systems,2026-09-09,2026-09-22
Hypercare,2026.09b-Comp Systems,2026-09-23,2026-10-06
Internal - GIC Spiff Implementation FY27-Project,2026.10a-Comp Systems,2026-10-07,2026-10-20
Internal - GIC Spiff Implementation FY27-Project,2026.10b-Comp Systems,2026-10-21,2026-11-03
Internal - GIC Spiff Implementation FY27-Project,2026.11a-Comp Systems,2026-11-04,2026-11-17
Internal - GIC Spiff Implementation FY27-Project,2026.11b-Comp Systems,2026-11-18,2026-12-01
Internal - GIC Spiff Implementation FY27-Project,2026.12a-Comp Systems,2026-12-02,2026-12-15
Internal - GIC Spiff Implementation FY27-Project,2026.12b-Comp Systems,2026-12-16,2026-12-29
Internal - GIC Spiff Implementation FY27-Project,2026.12c-Comp Systems,2026-12-30,2027-01-12
Internal - GIC Spiff Implementation FY27-Project,2027.01a-Comp Systems,2027-01-13,2027-01-26
Internal - GIC Spiff Implementation FY27-Project,2027.01b-Comp Systems,2027-01-27,2027-02-09
